,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
166,0.14154,0.0,0.34173,1,0.673469387755102,Transformer
167,0.170595,0.0,0.362395,2,0.673469387755102,Transformer
168,0.11898,0.0,0.30413,3,0.673469387755102,Transformer
169,0.13289,0.0,0.31587,4,0.673469387755102,Transformer
170,0.15902,5e-05,0.360905,0,0.6938775510204082,Transformer
171,0.129315,0.0,0.31721,1,0.6938775510204082,Transformer
172,0.107635,0.0,0.294595,2,0.6938775510204082,Transformer
173,0.126675,0.0,0.323235,3,0.6938775510204082,Transformer
174,0.112635,0.0,0.307455,4,0.6938775510204082,Transformer
175,0.138485,0.0,0.32458,0,0.7142857142857142,Transformer
176,0.114755,0.0,0.30674,1,0.7142857142857142,Transformer
177,0.13291,0.0,0.31392,2,0.7142857142857142,Transformer
178,0.126695,0.0,0.322705,3,0.7142857142857142,Transformer
179,0.146705,0.0,0.34355,4,0.7142857142857142,Transformer
180,0.11422,0.0,0.300805,0,0.7346938775510203,Transformer
181,0.136455,0.0,0.325035,1,0.7346938775510203,Transformer
182,0.125555,0.0,0.32124,2,0.7346938775510203,Transformer
183,0.154665,0.0,0.34969,3,0.7346938775510203,Transformer
184,0.155485,0.0,0.3601,4,0.7346938775510203,Transformer
185,0.147345,5e-05,0.35419,0,0.7551020408163265,Transformer
186,0.139385,0.0,0.333145,1,0.7551020408163265,Transformer
187,0.1912,0.0,0.398735,2,0.7551020408163265,Transformer
188,0.11322,0.0,0.3051,3,0.7551020408163265,Transformer
189,0.13886,0.0,0.336025,4,0.7551020408163265,Transformer
190,0.108505,0.0,0.301265,0,0.7755102040816326,Transformer
191,0.16745,0.0,0.37361,1,0.7755102040816326,Transformer
192,0.129825,0.0,0.32174,2,0.7755102040816326,Transformer
193,0.1337,0.0,0.33464,3,0.7755102040816326,Transformer
194,0.124365,0.0,0.32266,4,0.7755102040816326,Transformer
195,0.139275,5e-05,0.32608,0,0.7959183673469387,Transformer
196,0.141225,0.0,0.34019,1,0.7959183673469387,Transformer
197,0.10831,0.0,0.29808,2,0.7959183673469387,Transformer
198,0.119115,0.0,0.300065,3,0.7959183673469387,Transformer
199,0.137695,0.0,0.34451,4,0.7959183673469387,Transformer
200,0.127545,0.0,0.323265,0,0.8163265306122448,Transformer
201,0.15159,0.0,0.33783,1,0.8163265306122448,Transformer
202,0.140565,0.0,0.339865,2,0.8163265306122448,Transformer
203,0.115515,0.0,0.299535,3,0.8163265306122448,Transformer
204,0.137485,0.0,0.34231,4,0.8163265306122448,Transformer
205,0.132075,0.0,0.324865,0,0.836734693877551,Transformer
206,0.131905,0.0,0.321135,1,0.836734693877551,Transformer
207,0.135255,0.0,0.33811,2,0.836734693877551,Transformer
208,0.122735,0.0,0.311345,3,0.836734693877551,Transformer
209,0.137865,0.0,0.33578,4,0.836734693877551,Transformer
210,0.119365,0.0,0.31842,0,0.8571428571428571,Transformer
211,0.113955,0.0,0.303445,1,0.8571428571428571,Transformer
212,0.137305,0.0,0.319155,2,0.8571428571428571,Transformer
213,0.13219,0.0,0.335995,3,0.8571428571428571,Transformer
214,0.12497,0.0,0.315425,4,0.8571428571428571,Transformer
215,0.115865,0.0,0.31207,0,0.8775510204081632,Transformer
216,0.12993,0.0,0.32627,1,0.8775510204081632,Transformer
217,0.11198,0.0,0.304315,2,0.8775510204081632,Transformer
218,0.123235,0.0,0.315855,3,0.8775510204081632,Transformer
219,0.142955,0.0,0.33211,4,0.8775510204081632,Transformer
220,0.12922,0.0,0.32414,0,0.8979591836734693,Transformer
221,0.13299,0.0,0.327595,1,0.8979591836734693,Transformer
222,0.10424,0.0,0.29312,2,0.8979591836734693,Transformer
223,0.1365,0.0,0.3384,3,0.8979591836734693,Transformer
224,0.136415,0.0,0.32857,4,0.8979591836734693,Transformer
225,0.099055,0.0,0.2908,0,0.9183673469387754,Transformer
226,0.12585,0.0,0.31696,1,0.9183673469387754,Transformer
227,0.113575,0.0,0.30415,2,0.9183673469387754,Transformer
228,0.106005,0.0,0.297825,3,0.9183673469387754,Transformer
229,0.11221,0.0,0.30354,4,0.9183673469387754,Transformer
230,0.108835,0.0,0.299055,0,0.9387755102040816,Transformer
231,0.1333,0.0,0.32617,1,0.9387755102040816,Transformer
232,0.113715,0.0,0.30847,2,0.9387755102040816,Transformer
233,0.10749,0.0,0.29754,3,0.9387755102040816,Transformer
234,0.11657,0.0,0.30848,4,0.9387755102040816,Transformer
235,0.126125,0.0,0.32467,0,0.9591836734693877,Transformer
236,0.11398,0.0,0.30698,1,0.9591836734693877,Transformer
237,0.11849,0.0,0.314525,2,0.9591836734693877,Transformer
238,0.104115,0.0,0.2977,3,0.9591836734693877,Transformer
239,0.117875,0.0,0.312105,4,0.9591836734693877,Transformer
240,0.1158,0.0,0.30622,0,0.9795918367346939,Transformer
241,0.11494,0.0,0.312215,1,0.9795918367346939,Transformer
242,0.121545,0.0,0.317915,2,0.9795918367346939,Transformer
243,0.116735,0.0,0.309265,3,0.9795918367346939,Transformer
