,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
147,0.154195,0.0,0.34344,2,0.5918367346938775,Transformer
148,0.19329,0.00025,0.40247,3,0.5918367346938775,Transformer
149,0.138325,0.0,0.33613,4,0.5918367346938775,Transformer
150,0.132035,0.0,0.31867,0,0.6122448979591836,Transformer
151,0.156875,5e-05,0.34597,1,0.6122448979591836,Transformer
152,0.16076,0.00015,0.3694,2,0.6122448979591836,Transformer
153,0.145745,0.0,0.337395,3,0.6122448979591836,Transformer
154,0.158565,0.0,0.347275,4,0.6122448979591836,Transformer
155,0.135095,0.0,0.32118,0,0.6326530612244897,Transformer
156,0.178135,0.0,0.384815,1,0.6326530612244897,Transformer
157,0.13567,0.0,0.336935,2,0.6326530612244897,Transformer
158,0.151975,0.0,0.33499,3,0.6326530612244897,Transformer
159,0.13867,0.0,0.336045,4,0.6326530612244897,Transformer
160,0.165465,0.0,0.36762,0,0.6530612244897959,Transformer
161,0.13141,0.0,0.33427,1,0.6530612244897959,Transformer
162,0.12188,0.0,0.31261,2,0.6530612244897959,Transformer
163,0.140695,0.0,0.328525,3,0.6530612244897959,Transformer
164,0.1591,0.0,0.361555,4,0.6530612244897959,Transformer
165,0.124075,5e-05,0.31514,0,0.673469387755102,Transformer
166,0.14135,0.0,0.337975,1,0.673469387755102,Transformer
167,0.17857,5e-05,0.38441,2,0.673469387755102,Transformer
168,0.164155,5e-05,0.37184,3,0.673469387755102,Transformer
169,0.14826,0.0,0.34625,4,0.673469387755102,Transformer
170,0.126645,0.0,0.323345,0,0.6938775510204082,Transformer
171,0.151715,0.0,0.34842,1,0.6938775510204082,Transformer
172,0.145405,0.0,0.341145,2,0.6938775510204082,Transformer
173,0.104665,0.0,0.28968,3,0.6938775510204082,Transformer
174,0.195145,5e-05,0.397225,4,0.6938775510204082,Transformer
175,0.118125,0.0,0.3087,0,0.7142857142857142,Transformer
176,0.1386,0.0,0.34244,1,0.7142857142857142,Transformer
177,0.13488,0.0,0.332095,2,0.7142857142857142,Transformer
