,loss,binary_accuracy,group,train_size,trial
28,0.6924704909324646,0.5205382704734802,mlp,200,8
29,0.6945387721061707,0.47946175932884216,mlp,200,9
30,0.6940957903862,0.4780453145503998,mlp,500,0
31,0.6963500380516052,0.47946175932884216,mlp,500,1
32,0.6970934867858887,0.47946175932884216,mlp,500,2
33,0.7025559544563293,0.477337121963501,mlp,500,3
34,0.7057800889015198,0.47875353693962097,mlp,500,4
35,0.6924372315406799,0.5212464332580566,mlp,500,5
36,0.6923151016235352,0.5205382704734802,mlp,500,6
37,0.6926347613334656,0.5205382704734802,mlp,500,7
38,0.6926949620246887,0.5205382704734802,mlp,500,8
39,0.6923478841781616,0.5205382704734802,mlp,500,9
40,0.6926870942115784,0.4872521162033081,mlp,1000,0
41,0.6987631916999817,0.47946175932884216,mlp,1000,1
42,0.6945595741271973,0.47946175932884216,mlp,1000,2
43,0.692863404750824,0.5205382704734802,mlp,1000,3
44,0.6924992799758911,0.5205382704734802,mlp,1000,4
45,0.6911765933036804,0.4858357012271881,mlp,1000,5
46,0.69317227602005,0.47875353693962097,mlp,1000,6
47,0.6952963471412659,0.47946175932884216,mlp,1000,7
48,0.6923712491989136,0.519830048084259,mlp,1000,8
49,0.6936414241790771,0.47875353693962097,mlp,1000,9
50,0.661293089389801,0.5736544132232666,mlp,1500,0
51,0.6818679571151733,0.5396600365638733,mlp,1500,1
52,0.6849151253700256,0.5007082223892212,mlp,1500,2
53,0.6818053722381592,0.506373941898346,mlp,1500,3
54,0.6850552558898926,0.5014164447784424,mlp,1500,4
55,0.6923565864562988,0.5205382704734802,mlp,1500,5
56,0.49558112025260925,0.6940509676933289,mlp,1500,6
57,0.4834944009780884,0.6940509676933289,mlp,1500,7
58,0.6299694180488586,0.5956090688705444,mlp,1500,8
59,0.6899235844612122,0.4907931983470917,mlp,1500,9
60,0.6578826904296875,0.5446175932884216,mlp,2015,0
61,0.6730882525444031,0.5113314390182495,mlp,2015,1
62,0.6437435150146484,0.5559490323066711,mlp,2015,2
63,0.695461094379425,0.47946175932884216,mlp,2015,3
64,0.6945209503173828,0.47946175932884216,mlp,2015,4
65,0.4144384264945984,0.7450425028800964,mlp,2015,5
66,0.6098388433456421,0.5856940746307373,mlp,2015,6
67,0.6947121620178223,0.47946175932884216,mlp,2015,7
68,0.6513321995735168,0.5658640265464783,mlp,2015,8
69,0.6394446492195129,0.5594900846481323,mlp,2015,9
0,0.8720340728759766,0.48371103405952454,predinet,5,0
1,0.7339158654212952,0.5007082223892212,predinet,5,1
2,0.7460498213768005,0.506373941898346,predinet,5,2
3,0.8063884377479553,0.47946175932884216,predinet,5,3
4,0.7837672233581543,0.5,predinet,5,4
5,0.8986669182777405,0.46671387553215027,predinet,5,5
6,0.7682756185531616,0.4865439236164093,predinet,5,6
7,0.794017493724823,0.4978753626346588,predinet,5,7
